CourseID,UIN,Score
PHYS678,10194,85
STAT687,10195,1
PSY403,10196,1
CSCE319,10197,69
ENG629,10198,54
ECON682,10199,75
STAT410,10200,7
BIO241,10201,74
PHYS449,10202,74
MATH170,10203,71
PHYS665,10204,23
ASTR390,10205,98
CHEM186,10206,3
CSCE513,10207,99
STAT399,10208,8
ASTR543,10209,24
BIO422,10210,84
ASTR540,10211,15
PSY239,10212,14
ECE432,10213,76
MUS122,10214,71
BIO474,10215,80
BIO443,10216,49
BIO396,10217,31
ART361,10218,28
HIST535,10219,45
PHYS307,10220,58
ASTR125,10221,49
PSY396,10222,79
CSCE521,10223,99
BIO679,10224,49
HIST614,10225,39
PHYS603,10226,91
HIST612,10227,55
HIST119,10228,14
CSCE575,10229,15
MUS620,10230,69
ECE573,10231,46
HIST316,10232,79
MATH287,10233,18
BIO212,10234,11
CHEM428,10235,98
ECE180,10236,40
BIO345,10237,55
PHYS437,10238,77
ART144,10239,80
ART522,10240,30
BIO688,10241,90
BIO687,10242,81
PHIL193,10243,100
MATH693,10244,38
ASTR463,10245,62
ECE265,10246,35
PSY521,10247,67
ART292,10248,83
ART680,10249,56
CSCE317,10250,43
HIST238,10251,1
PSY478,10252,52
ECON679,10253,27
ECE156,10254,47
PSY215,10255,17
CSCE455,10256,25
PHIL526,10257,20
PHYS160,10258,99
HIST166,10259,9
BIO644,10260,0
HIST429,10261,32
ECE334,10262,36
BIO643,10263,94
PHIL506,10264,58
PHIL661,10265,2
ENG218,10266,48
MUS641,10267,17
ECON229,10268,89
CHEM586,10269,57
CHEM132,10270,68
HIST645,10271,65
CSCE277,10272,32
PHYS673,10273,13
CHEM199,10274,29
ECON614,10275,50
ENG203,10276,29
PHIL596,10277,48
PHIL384,10278,11
ART416,10279,72
MATH690,10280,55
PHIL510,10281,40
CSCE414,10282,7
PHIL535,10283,85
ECON554,10284,7
ECE378,10285,17
MUS174,10286,41
ECON238,10287,72
ENG334,10288,80
BIO394,10289,70
ENG636,10290,94
CHEM246,10291,73
ENG346,10292,65
MATH492,10293,51
PHIL234,10294,33
ECON404,10295,80
PHYS269,10296,94
ENG314,10297,50
CHEM554,10298,96
BIO127,10299,95
MATH272,10300,28
ENG159,10301,7
PSY466,10302,22
CSCE422,10303,97
PSY624,10304,25
ART221,10305,9
PSY405,10306,55
CSCE441,10307,28
ECON361,10308,51
BIO225,10309,95
MUS137,10310,5
PSY219,10311,15
CHEM522,10312,95
PHIL665,10313,83
ENG639,10314,26
STAT697,10315,11
ART279,10316,19
PHIL675,10317,20
ASTR330,10318,43
BIO404,10319,41
ART406,10320,93
MUS411,10321,42
BIO696,10322,12
MATH540,10323,70
PHIL302,10324,25
PHYS683,10325,18
CSCE123,10326,80
CSCE114,10327,31
HIST567,10328,39
PHIL446,10329,52
BIO481,10330,11
ASTR355,10331,0
PHYS174,10332,93
HIST223,10333,24
MATH198,10334,58
ENG615,10335,22
PHIL335,10336,17
MUS139,10337,31
ECE324,10338,23
ASTR118,10339,2
ECON287,10340,5
CSCE147,10341,90
PHIL400,10342,52
ASTR547,10343,1
CHEM144,10344,4
BIO498,10345,63
CSCE216,10346,70
ECE665,10347,32
HIST312,10348,85
MUS166,10349,71
PSY198,10350,50
MATH646,10351,92
BIO530,10352,82
STAT477,10353,51
CHEM196,10354,24
BIO352,10355,9
BIO277,10356,95
STAT249,10357,53
HIST333,10358,2
ECE613,10359,66
ECON245,10360,84
ENG665,10361,70
ENG410,10362,93
ASTR310,10363,7
CSCE537,10364,38
HIST337,10365,24
PSY226,10366,83
ENG628,10367,76
ECON491,10368,74
ART373,10369,27
ECON135,10370,9
ART417,10371,42
ECON550,10372,84
CHEM570,10373,91
STAT404,10374,71
PSY378,10375,5
MUS136,10376,24
ECE349,10377,41
ART435,10378,16
ART430,10379,81
ENG365,10380,77
MUS207,10381,16
ASTR109,10382,14
BIO672,10383,61
CSCE191,10384,26
STAT100,10385,76
CHEM220,10386,96
PHYS128,10387,77
MUS552,10388,20
MUS402,10389,60
PHYS566,10390,17
MUS229,10391,18
HIST494,10392,33
ASTR613,10393,21
ECON299,10394,9
ART222,10395,11
ASTR430,10396,22
CSCE134,10397,12
CSCE205,10398,71
ECE100,10399,60
PHIL566,10400,51
PSY106,10401,93
MUS586,10402,26
CSCE432,10403,7
HIST626,10404,78
ECE398,10405,26
PSY184,10406,84
ART126,10407,90
ECE314,10408,77
ECON536,10409,48
ECE361,10410,22
ECON175,10411,74
ASTR618,10412,23
PHIL550,10413,29
HIST633,10414,10
PHIL562,10415,63
PHYS454,10416,9
MUS267,10417,96
ART269,10418,77
MATH416,10419,33
BIO497,10420,94
CSCE297,10421,51
MATH217,10422,69
ENG114,10423,7
CHEM635,10424,22
PHIL144,10425,72
ASTR377,10426,94
ENG417,10427,2
ECE653,10428,32
ART306,10429,33
ART194,10430,36
PHIL580,10431,67
PHIL621,10432,56
CSCE203,10433,39
PHYS223,10434,91
HIST292,10435,62
ECE135,10436,98
CHEM170,10437,9
MUS667,10438,95
PSY166,10439,40
CHEM228,10440,10
CHEM508,10441,69
ASTR598,10442,58
CHEM235,10443,65
ENG257,10444,85
PSY110,10445,59
ECON307,10446,21
ASTR218,10447,31
MUS325,10448,77
PHIL201,10449,50
ASTR138,10450,11
CSCE467,10451,7
STAT170,10452,79
MATH526,10453,43
ECE555,10454,81
ECE298,10455,83
PHIL694,10456,60
ECON580,10457,9
HIST408,10458,98
CHEM366,10459,6
CSCE136,10460,87
PSY227,10461,72
ECE235,10462,27
STAT418,10463,31
ECON260,10464,36
ASTR408,10465,7
ASTR522,10466,59
HIST151,10467,20
STAT296,10468,28
ENG502,10469,44
PHYS688,10470,17
ECE415,10471,32
CHEM329,10472,32
ART460,10473,66
ECE258,10474,44
ECE266,10475,52
PHYS205,10476,28
HIST111,10477,31
CHEM120,10478,41
MATH547,10479,88
CSCE221,10480,4
ENG581,10481,36
PSY195,10482,37
ECE399,10483,80
HIST549,10484,77
HIST467,10485,93
CHEM582,10486,38
CSCE540,10487,46
MATH572,10488,89
CHEM211,10489,63
ECON313,10490,12
ECE624,10491,7
HIST291,10492,0
STAT606,10493,15
MATH367,10494,62
ENG607,10495,52
ART545,10496,73
PHIL441,10497,82
ECON339,10498,95
ECON201,10499,98
CSCE621,10500,84
ENG176,10501,83
ECON325,10502,18
ASTR426,10503,95
MUS596,10504,73
ECON114,10505,80
CSCE507,10506,73
ECE183,10507,17
ART369,10508,2
HIST466,10509,88
ASTR602,10510,64
ECON274,10511,88
MUS221,10512,20
ECON655,10513,16
ECE389,10514,31
ASTR233,10515,50
PSY380,10516,74
ART336,10517,46
BIO455,10518,50
ECON282,10519,82
ECON617,10520,9
CHEM457,10521,8
ENG480,10522,71
PHYS677,10523,37
ECON194,10524,94
CHEM526,10525,32
STAT511,10526,64
PHYS191,10527,87
PHIL611,10528,39
ENG499,10529,75
ECON428,10530,56
PSY586,10531,24
ART605,10532,6
BIO126,10533,56
MUS553,10534,43
ECE198,10535,48
MATH494,10536,72
ART403,10537,25
PSY121,10538,35
CSCE692,10539,55
CHEM627,10540,47
CSCE197,10541,35
CHEM612,10542,11
ENG666,10543,67
HIST435,10544,23
STAT365,10545,63
PSY163,10546,50
STAT385,10547,6
ASTR398,10548,82
HIST636,10549,65
ASTR456,10550,33
ART505,10551,45
PHIL203,10552,95
ECE581,10553,59
PHYS170,10554,22
BIO529,10555,4
MATH207,10556,65
ECON338,10557,87
ECE261,10558,47
ART349,10559,34
CSCE564,10560,100
MATH263,10561,86
ASTR132,10562,72
HIST404,10563,7
CHEM111,10564,48
ART111,10565,89
STAT289,10566,88
ECE168,10567,18
PHIL640,10568,33
ART643,10569,16
CHEM683,10570,45
ENG492,10571,93
ASTR519,10572,51
ART683,10573,25
PHIL131,10574,70
CHEM489,10575,20
ECE489,10576,1
PSY218,10577,83
PHYS604,10578,3
ECON232,10579,3
ECON627,10580,0
PHYS446,10581,56
STAT484,10582,38
ASTR239,10583,17
ENG162,10584,72
HIST369,10585,21
CHEM388,10586,43
BIO235,10587,25
PHYS306,10588,1
MUS488,10589,45
CSCE170,10590,97
ECE142,10591,7
HIST472,10592,41
CHEM162,10593,97
CSCE582,10594,37
HIST432,10595,20
HIST315,10596,35
HIST630,10597,41
STAT364,10598,94
MUS449,10599,99
PSY278,10600,55
ENG686,10601,4
PSY258,10602,10
PHYS219,10603,25
ENG370,10604,44
MUS187,10605,98
ART674,10606,21
PSY571,10607,22
ENG398,10608,59
CSCE478,10609,14
PHYS104,10610,30
CSCE632,10611,94
CSCE326,10612,11
HIST523,10613,2
MATH600,10614,14
CHEM563,10615,48
PSY513,10616,19
MUS520,10617,79
BIO252,10618,59
ENG552,10619,19
PHYS579,10620,21
ENG312,10621,76
ART428,10622,42
CHEM698,10623,44
CHEM593,10624,64
PHYS637,10625,90
MUS326,10626,12
MATH634,10627,93
STAT580,10628,78
STAT237,10629,55
ECON628,10630,7
HIST240,10631,54
MATH457,10632,20
HIST126,10633,31
HIST399,10634,34
STAT315,10635,57
BIO305,10636,96
ASTR169,10637,67
MUS476,10638,52
MUS395,10639,64
ART697,10640,5
CSCE214,10641,74
HIST389,10642,20
STAT493,10643,87
PHIL436,10644,39
ECE681,10645,82
MUS107,10646,0
HIST349,10647,29
CSCE230,10648,10
PHIL231,10649,54
ASTR484,10650,45
CSCE220,10651,90
ASTR694,10652,39
ECON298,10653,16
PSY427,10654,28
CHEM308,10655,72
HIST230,10656,4
STAT260,10657,83
HIST189,10658,82
MUS370,10659,49
CHEM193,10660,46
PSY689,10661,86
CSCE699,10662,59
PHYS521,10663,13
HIST451,10664,86
BIO129,10665,89
PHIL551,10666,9
STAT346,10667,13
BIO527,10668,32
STAT137,10669,97
CSCE458,10670,5
MUS412,10671,42
CSCE258,10672,64
ASTR253,10673,39
BIO154,10674,49
PHIL230,10675,17
ECON457,10676,15
ASTR418,10677,0
STAT556,10678,10
ECE370,10679,18
PHYS398,10680,76
ENG565,10681,92
PSY177,10682,35
ART560,10683,43
ECON108,10684,66
CSCE130,10685,60
ENG105,10686,89
ECON599,10687,100
STAT595,10688,44
HIST446,10689,88
STAT427,10690,41
MUS658,10691,34
ECON463,10692,30
PHYS570,10693,49
CHEM605,10694,23
ENG564,10695,44
ECON640,10696,97
MATH270,10697,29
ECON219,10698,71
ENG452,10699,66
PHIL265,10700,30
PSY117,10701,72
HIST413,10702,76
MATH507,10703,43
MUS623,10704,17
ECE372,10705,77
ECON281,10706,33
BIO599,10707,71
ECON551,10708,62
CSCE385,10709,80
ASTR172,10710,58
BIO566,10711,45
ART232,10712,73
CHEM176,10713,27
HIST293,10714,54
CSCE446,10715,8
CHEM662,10716,88
ECON171,10717,34
PSY108,10718,4
STAT369,10719,48
ART216,10720,73
PSY228,10721,7
STAT172,10722,34
ECE593,10723,62
HIST493,10724,56
PHYS595,10725,2
STAT281,10726,24
MUS238,10727,51
ECE161,10728,57
MATH544,10729,41
STAT685,10730,72
BIO598,10731,1
ECE408,10732,62
ECE102,10733,28
HIST545,10734,38
ENG602,10735,46
PSY389,10736,76
CHEM333,10737,76
ENG167,10738,3
ECON200,10739,50
CSCE305,10740,25
MUS347,10741,11
MATH691,10742,17
PHYS624,10743,44
CHEM512,10744,98
ECON284,10745,16
STAT147,10746,21
ASTR595,10747,88
PHIL116,10748,16
ENG590,10749,84
ENG557,10750,56
ENG616,10751,92
MUS629,10752,97
CHEM576,10753,68
MATH107,10754,66
ASTR378,10755,86
PHIL322,10756,40
ECON547,10757,22
PSY570,10758,16
MUS212,10759,48
ECON557,10760,9
MATH679,10761,98
STAT349,10762,69
ECE502,10763,39
MATH541,10764,57
ASTR552,10765,48
CSCE676,10766,16
ASTR493,10767,95
PHIL186,10768,60
CHEM477,10769,65
ART238,10770,7
PHIL279,10771,25
BIO620,10772,86
ASTR622,10773,67
MATH662,10774,24
MUS581,10775,33
PHIL409,10776,72
PHIL110,10777,49
ECE513,10778,76
ENG368,10779,36
STAT394,10780,42
PHYS635,10781,69
ECON497,10782,87
BIO268,10783,30
ECE220,10784,80
MUS201,10785,1
STAT476,10786,94
ECE468,10787,51
CSCE194,10788,89
STAT612,10789,17
BIO597,10790,61
PHIL150,10791,86
STAT466,10792,13
ENG520,10793,53
ASTR434,10794,80
PHYS361,10795,40
PSY663,10796,70
PSY395,10797,39
PHYS139,10798,20
CSCE636,10799,47
ECON647,10800,38
ENG697,10801,34
MATH660,10802,38
BIO657,10803,12
PHIL373,10804,49
CSCE260,10805,8
MUS485,10806,62
BIO214,10807,7
HIST258,10808,10
ART362,10809,26
BIO338,10810,58
ENG358,10811,84
ECON342,10812,62
PHIL481,10813,46
ASTR455,10814,98
ECE559,10815,28
HIST617,10816,60
MUS532,10817,73
ASTR538,10818,84
ENG168,10819,29
ASTR696,10820,26
PHIL515,10821,91
ECON228,10822,25
ASTR586,10823,70
ASTR211,10824,93
PSY695,10825,56
HIST104,10826,49
ECE466,10827,22
ART452,10828,70
PHIL290,10829,36
ECE371,10830,77
ASTR453,10831,20
STAT383,10832,17
MUS173,10833,65
CSCE645,10834,63
ECE694,10835,0
ENG395,10836,79
PSY603,10837,7
HIST557,10838,49
ECE504,10839,33
PSY611,10840,11
STAT460,10841,47
PHIL482,10842,3
PHIL167,10843,78
ECON430,10844,87
HIST601,10845,21
BIO207,10846,28
HIST185,10847,50
PHIL102,10848,29
PHYS463,10849,81
HIST345,10850,1
PHIL118,10851,38
STAT430,10852,43
CSCE486,10853,82
STAT664,10854,77
CHEM502,10855,5
CSCE307,10856,72
HIST348,10857,89
BIO368,10858,53
CHEM204,10859,29
ASTR489,10860,52
BIO367,10861,43
CSCE472,10862,55
CSCE430,10863,87
ENG175,10864,11
BIO542,10865,49
HIST458,10866,34
CHEM391,10867,93
ECE252,10868,99
ASTR178,10869,90
BIO624,10870,52
MATH574,10871,79
ENG553,10872,91
ART567,10873,81
ECE164,10874,5
ENG673,10875,80
ECE568,10876,74
ECE159,10877,15
PHIL432,10878,76
ECON140,10879,82
PHIL189,10880,53
BIO289,10881,47
ECON470,10882,42
BIO348,10883,10
CSCE269,10884,17
ECON675,10885,23
ECON192,10886,29
PHIL606,10887,9
MATH533,10888,2
PSY610,10889,27
ASTR678,10890,31
PHIL113,10891,55
HIST213,10892,25
PHIL141,10893,67
ASTR318,10894,100
CSCE482,10895,28
MATH491,10896,91
PSY491,10897,53
MATH164,10898,91
ART521,10899,70
ECE422,10900,63
ASTR500,10901,27
ART538,10902,76
ART418,10903,59
PHIL272,10904,86
PSY397,10905,56
ECE136,10906,53
BIO634,10907,11
ECE537,10908,93
PHYS548,10909,54
PHIL378,10910,22
ASTR266,10911,23
ECE229,10912,54
MUS576,10913,61
MATH127,10914,96
PSY225,10915,97
MUS149,10916,99
PHIL175,10917,3
CHEM579,10918,5
MUS551,10919,53
STAT651,10920,46
ENG532,10921,48
MATH310,10922,96
MATH527,10923,10
CSCE418,10924,95
ENG479,10925,52
ASTR256,10926,27
CHEM482,10927,22
STAT393,10928,67
ECE454,10929,14
ECE209,10930,24
STAT130,10931,6
PSY567,10932,55
PSY489,10933,47
HIST424,10934,5
ECE654,10935,21
ENG566,10936,6
BIO393,10937,97
ECE330,10938,28
MUS432,10939,54
BIO199,10940,95
PHYS389,10941,86
ECE697,10942,32
PHIL525,10943,19
PHYS300,10944,8
HIST596,10945,66
PHIL438,10946,1
PHYS257,10947,83
ECE307,10948,5
PSY485,10949,27
MATH653,10950,79
PSY231,10951,58
MATH470,10952,38
CSCE218,10953,4
ECE117,10954,70
ART663,10955,86
HIST521,10956,3
CHEM446,10957,40
PSY196,10958,27
PHYS194,10959,81
BIO461,10960,26
ECE611,10961,91
STAT608,10962,94
CHEM160,10963,16
MUS684,10964,62
HIST582,10965,49
ART454,10966,47
PHIL281,10967,85
ART120,10968,22
ECON244,10969,80
ECE656,10970,61
MATH345,10971,34
ECE308,10972,77
MATH591,10973,42
ASTR468,10974,74
ECE149,10975,11
ART140,10976,70
CSCE534,10977,66
ART566,10978,47
CHEM327,10979,96
MATH648,10980,87
CSCE247,10981,80
ART182,10982,33
BIO121,10983,41
PSY276,10984,75
CHEM282,10985,85
PHIL632,10986,98
HIST113,10987,60
MUS675,10988,82
CSCE182,10989,66
CHEM416,10990,63
ECON388,10991,66
CHEM386,10992,18
HIST253,10993,56
CHEM166,10994,26
MUS536,10995,71
ART590,10996,23
BIO604,10997,88
CSCE266,10998,52
PSY300,10999,38
BIO486,11000,91
PHYS144,11001,35
MUS321,11002,55
ASTR480,11003,29
ENG460,11004,69
HIST219,11005,47
HIST515,11006,41
ECE484,11007,40
CSCE474,11008,55
HIST670,11009,1
CSCE349,11010,24
ECE317,11011,36
CSCE377,11012,60
MUS203,11013,73
ART433,11014,69
PHIL347,11015,41
CSCE588,11016,9
ECE205,11017,5
ASTR631,11018,28
ASTR470,11019,43
STAT266,11020,92
ECON111,11021,25
ECE585,11022,51
MUS224,11023,21
ECE335,11024,46
PSY585,11025,26
PSY545,11026,82
BIO238,11027,100
ENG263,11028,70
MUS648,11029,8
CHEM395,11030,72
MATH489,11031,18
BIO340,11032,81
HIST500,11033,89
MATH498,11034,62
ASTR346,11035,70
MATH328,11036,8
PSY597,11037,3
CSCE283,11038,60
MUS286,11039,46
HIST672,11040,39
ECON518,11041,52
ASTR699,11042,73
ECON662,11043,40
STAT471,11044,66
ENG587,11045,85
MATH347,11046,23
STAT620,11047,33
ECON113,11048,69
ECON297,11049,57
ECE465,11050,78
BIO523,11051,33
ART249,11052,46
MUS471,11053,42
MUS482,11054,1
BIO549,11055,15
STAT406,11056,6
ART502,11057,40
ART268,11058,5
HIST620,11059,45
STAT453,11060,44
CSCE345,11061,51
ASTR208,11062,100
ENG323,11063,34
PSY308,11064,85
PHYS169,11065,70
PHYS100,11066,23
BIO115,11067,43
BIO197,11068,95
ART523,11069,36
STAT654,11070,52
MUS534,11071,73
ENG597,11072,47
ENG178,11073,98
ENG134,11074,100
ASTR495,11075,94
ECE680,11076,93
ECON450,11077,15
CSCE666,11078,8
BIO459,11079,55
PSY527,11080,1
MUS333,11081,1
CSCE484,11082,25
ECE617,11083,65
CSCE614,11084,56
PHYS560,11085,36
STAT674,11086,55
CSCE659,11087,73
PSY312,11088,77
ENG454,11089,11
BIO494,11090,82
HIST579,11091,34
STAT351,11092,82
PSY167,11093,95
PSY699,11094,79
HIST383,11095,72
MATH636,11096,65
ECON697,11097,54
CSCE335,11098,86
MATH246,11099,28
HIST129,11100,38
ECON553,11101,92
ECE497,11102,51
ECON469,11103,75
ENG672,11104,90
STAT243,11105,29
MATH194,11106,96
ART143,11107,28
ECON620,11108,28
MUS143,11109,37
PHYS356,11110,6
PHYS201,11111,93
MATH432,11112,41
PHYS321,11113,35
PHYS274,11114,98
HIST288,11115,51
PHYS235,11116,72
MATH588,11117,31
STAT592,11118,31
ENG445,11119,71
ASTR112,11120,1
MUS609,11121,32
ART443,11122,17
ART626,11123,14
HIST317,11124,58
HIST666,11125,6
MATH477,11126,37
MUS180,11127,71
PHYS423,11128,86
ART350,11129,89
CSCE316,11130,71
PHIL130,11131,28
PHIL170,11132,29
BIO269,11133,30
STAT446,11134,7
PSY375,11135,14
MUS244,11136,69
CSCE139,11137,89
CHEM129,11138,20
ART335,11139,28
CSCE354,11140,88
STAT227,11141,82
PHIL560,11142,41
STAT320,11143,40
CHEM189,11144,64
HIST366,11145,23
PHIL638,11146,75
MATH560,11147,57
PHIL320,11148,6
ENG696,11149,55
CSCE116,11150,67
PHIL226,11151,37
MUS386,11152,98
CSCE152,11153,24
MATH687,11154,17
CHEM310,11155,78
ECON601,11156,83
CHEM138,11157,91
PHYS403,11158,13
MATH654,11159,8
ASTR363,11160,14
PSY451,11161,68
ECON425,11162,9
MUS177,11163,81
ENG550,11164,61
PHIL605,11165,100
ASTR693,11166,39
MATH145,11167,24
ASTR111,11168,80
CSCE339,11169,93
ECE447,11170,63
BIO399,11171,46
ECE244,11172,85
ART508,11173,71
STAT540,11174,33
MATH108,11175,39
MATH190,11176,8
ECON584,11177,52
PSY633,11178,61
ASTR232,11179,28
MUS164,11180,89
ENG169,11181,7
CSCE117,11182,59
PHYS175,11183,85
MATH603,11184,37
BIO592,11185,81
STAT562,11186,40
PHIL391,11187,68
PHYS385,11188,1
CHEM492,11189,82
ART473,11190,13
PSY450,11191,100
MUS674,11192,49
HIST319,11193,73
HIST305,11194,62
PHIL683,11195,16
ENG494,11196,38
ECE242,11197,23
BIO678,11198,58
CHEM254,11199,40
PSY548,11200,11
ECE364,11201,77
ART420,11202,63
MUS161,11203,80
PHIL534,11204,93
STAT451,11205,95
ECE597,11206,37
ECE143,11207,69
PSY282,11208,37
CHEM121,11209,51
ART699,11210,37
ECE182,11211,66
PSY421,11212,55
ART498,11213,36
MATH119,11214,39
MUS354,11215,60
ECE338,11216,1
PHIL489,11217,56
ENG681,11218,58
STAT292,11219,41
ASTR580,11220,70
MATH467,11221,89
BIO628,11222,56
ECON351,11223,98
ASTR194,11224,97
ECON327,11225,8
ART405,11226,76
MATH435,11227,53
ECON378,11228,12
PHIL564,11229,72
ART689,11230,64
ENG594,11231,26
ENG515,11232,32
STAT464,11233,3
PHIL313,11234,0
ECE576,11235,87
ENG482,11236,0
PHIL631,11237,26
STAT146,11238,59
CHEM343,11239,16
MUS365,11240,78
CHEM484,11241,90
HIST547,11242,85
STAT267,11243,34
MUS392,11244,38
ART456,11245,97
MUS668,11246,39
CSCE131,11247,18
PHIL362,11248,74
PHIL267,11249,56
ECE589,11250,35
ENG642,11251,93
ECE212,11252,36
CSCE419,11253,46
MATH121,11254,55
ASTR404,11255,91
PSY424,11256,75
CSCE662,11257,25
PSY475,11258,15
STAT596,11259,3
MUS248,11260,25
MATH573,11261,58
MUS375,11262,9
CHEM365,11263,7
ASTR225,11264,57
CHEM592,11265,47
ART394,11266,86
STAT226,11267,43
MUS624,11268,34
ART685,11269,90
ASTR162,11270,36
ECE169,11271,60
ENG183,11272,75
PHYS341,11273,53
CSCE454,11274,77
HIST206,11275,46
PHIL393,11276,94
ART438,11277,28
MUS153,11278,67
PHYS591,11279,16
PHYS546,11280,57
ART620,11281,97
CSCE394,11282,24
MUS277,11283,28
ASTR448,11284,8
ASTR289,11285,17
ECON204,11286,25
CHEM516,11287,58
MUS123,11288,63
CSCE211,11289,30
HIST391,11290,58
HIST156,11291,94
ECON537,11292,27
ECON217,11293,56
PHYS565,11294,3
ECE192,11295,98
PHYS667,11296,27
MUS575,11297,29
MATH664,11298,20
PHYS558,11299,87
PHYS287,11300,63
MUS436,11301,52
ENG198,11302,95
CSCE168,11303,38
MUS108,11304,71
ART492,11305,51
CHEM699,11306,35
ENG626,11307,54
PHIL387,11308,96
ECON651,11309,73
ECON414,11310,86
CHEM405,11311,69
ECON696,11312,98
ART263,11313,26
ECON303,11314,21
ART426,11315,37
CSCE600,11316,96
PHIL153,11317,97
HIST338,11318,21
PHYS370,11319,50
MUS424,11320,36
PSY435,11321,31
PSY359,11322,52
ENG107,11323,2
HIST380,11324,12
ECON220,11325,52
HIST390,11326,26
ASTR246,11327,2
ECON119,11328,89
MUS437,11329,60
MATH300,11330,75
PHIL692,11331,9
ART494,11332,53
PSY515,11333,22
ART189,11334,96
PHIL555,11335,14
ASTR354,11336,75
PSY286,11337,1
CHEM568,11338,94
ECON301,11339,87
ASTR320,11340,12
PSY493,11341,70
MUS608,11342,23
CHEM156,11343,83
HIST273,11344,43
CHEM200,11345,7
STAT625,11346,11
ECON216,11347,16
CSCE118,11348,99
HIST386,11349,52
ECON406,11350,37
ECE375,11351,84
CHEM339,11352,9
ENG530,11353,84
PSY514,11354,61
ART608,11355,13
ASTR629,11356,56
PSY252,11357,58
ECON603,11358,31
PSY684,11359,99
ENG655,11360,69
ENG260,11361,84
CHEM511,11362,36
